gene	chrom	start	end	panel	condition
FBN1	chr15	48408313	48645714	ACMG_SF_v3.2	Marfan syndrome
FLNC	chr7	128830658	128859410	ACMG_SF_v3.2	Dilated cardiomyopathy
G6PD	chrX	154531390	154547569	PharmGKB_VIP	G6PD-deficiency drug-induced hemolysis
GAA	chr17	80101537	80119881	ACMG_SF_v3.2	Pompe disease
GLA	chrX	101397803	101407795	ACMG_SF_v3.2	Fabry disease
HFE	chr6	26087509	26098571	ACMG_SF_v3.2	Hereditary hemochromatosis
HLA-A	chr6	29942532	29945870	PharmGKB_VIP	Carbamazepine HSR
HLA-B	chr6	31353871	31367067	PharmGKB_VIP	Abacavir, allopurinol, carbamazepine HSR
HLA-DQA1	chr6	32637402	32643605	PharmGKB_VIP	DILI risk
HLA-DRB1	chr6	32578769	32589836	PharmGKB_VIP	DILI risk
HNF1A	chr12	120978540	121002512	ACMG_SF_v3.2	MODY3
IFNL3	chr19	39248147	39252858	PharmGKB_VIP	Pegylated interferon response (HCV)
IFNL4	chr19	39238673	39247568	PharmGKB_VIP	HCV treatment response
KCNH2	chr7	150944737	150979024	ACMG_SF_v3.2	Long QT syndrome
KCNQ1	chr11	2444691	2849110	ACMG_SF_v3.2	Long QT syndrome
LDLR	chr19	11089462	11133820	ACMG_SF_v3.2	Familial hypercholesterolemia
LMNA	chr1	156082546	156140089	ACMG_SF_v3.2	Dilated cardiomyopathy / Emery-Dreifuss MD
MAX	chr14	65007100	65102885	ACMG_SF_v3.2	Hereditary paraganglioma
MEN1	chr11	64803515	64811294	ACMG_SF_v3.2	Multiple endocrine neoplasia type 1
MLH1	chr3	36993332	37050918	ACMG_SF_v3.2	Lynch syndrome
MSH2	chr2	47403067	47634501	ACMG_SF_v3.2	Lynch syndrome
MSH6	chr2	47783146	47806916	ACMG_SF_v3.2	Lynch syndrome
MTHFR	chr1	11789989	11806923	PharmGKB_VIP	Methotrexate, folate metabolism
MUTYH	chr1	45329163	45340663	ACMG_SF_v3.2	MUTYH-associated polyposis
MYBPC3	chr11	47331407	47352702	ACMG_SF_v3.2	Hypertrophic cardiomyopathy
MYH11	chr16	15795995	15950886	ACMG_SF_v3.2	Familial thoracic aortic aneurysm
MYH7	chr14	23412866	23436564	ACMG_SF_v3.2	Hypertrophic / dilated cardiomyopathy
MYL2	chr12	110910819	110921077	ACMG_SF_v3.2	Hypertrophic cardiomyopathy
MYL3	chr3	46857800	46864884	ACMG_SF_v3.2	Hypertrophic cardiomyopathy
MYL5	chr4	673764	682611	ACMG_SF_v3.2	Hypertrophic cardiomyopathy
NAT2	chr8	18391245	18401219	PharmGKB_VIP	Isoniazid
NF2	chr22	29603556	29701045	ACMG_SF_v3.2	Neurofibromatosis type 2
NUDT15	chr13	48037803	48051670	PharmGKB_VIP	Thiopurines
OPRM1	chr6	154010496	154246867	PharmGKB_VIP	Opioid response
OTC	chrX	38352543	38421450	ACMG_SF_v3.2	Ornithine transcarbamylase deficiency
PALB2	chr16	23603153	23641413	ACMG_SF_v3.2	Hereditary breast cancer (added v3.2)
PCSK9	chr1	55039548	55064852	ACMG_SF_v3.2	Familial hypercholesterolemia
PKP2	chr12	32790628	32898531	ACMG_SF_v3.2	Arrhythmogenic cardiomyopathy
PMS2	chr7	5970925	6048737	ACMG_SF_v3.2	Lynch syndrome
POLG	chr15	89316130	89334284	PharmGKB_VIP	Valproate hepatotoxicity
PRKAG2	chr7	151568641	151843029	ACMG_SF_v3.2	Hypertrophic cardiomyopathy with WPW
PTEN	chr10	87863438	87971930	ACMG_SF_v3.2	Cowden / PHTS
RB1	chr13	48303256	48481890	ACMG_SF_v3.2	Retinoblastoma
RET	chr10	43077128	43130351	ACMG_SF_v3.2	MEN2; medullary thyroid cancer
RPE65	chr1	68424376	68446504	ACMG_SF_v3.2	Leber congenital amaurosis
RPS19	chr19	41859396	41872189	ACMG_SF_v3.2	Diamond-Blackfan anemia (illustrative)
RYR1	chr19	38433691	38595049	ACMG_SF_v3.2	Malignant hyperthermia susceptibility
RYR1_pgx	chr19	38433691	38595049	PharmGKB_VIP	Malignant hyperthermia (anesthesia)
RYR2	chr1	237042137	237833988	ACMG_SF_v3.2	Catecholaminergic polymorphic VT
SCN5A	chr3	38548028	38649687	ACMG_SF_v3.2	Long QT syndrome / Brugada syndrome
SDHAF2	chr11	61429894	61446993	ACMG_SF_v3.2	Hereditary paraganglioma
SDHB	chr1	17018722	17054032	ACMG_SF_v3.2	Hereditary paraganglioma
SDHC	chr1	161314393	161364091	ACMG_SF_v3.2	Hereditary paraganglioma
SDHD	chr11	112086788	112095210	ACMG_SF_v3.2	Hereditary paraganglioma-pheochromocytoma
SLC6A4	chr17	30192984	30236005	PharmGKB_VIP	SSRI response
SLCO1B1	chr12	21178605	21288368	PharmGKB_VIP	Simvastatin myopathy risk
SMAD3	chr15	67064125	67195169	ACMG_SF_v3.2	Loeys-Dietz syndrome
SMAD4	chr18	51030212	51085044	ACMG_SF_v3.2	Juvenile polyposis / HHT
STK11	chr19	1205797	1228435	ACMG_SF_v3.2	Peutz-Jeghers syndrome
TGFBR1	chr9	99104071	99154192	ACMG_SF_v3.2	Loeys-Dietz syndrome
TGFBR2	chr3	30606450	30694142	ACMG_SF_v3.2	Loeys-Dietz syndrome
TMEM127	chr2	96247070	96265003	ACMG_SF_v3.2	Hereditary paraganglioma
TMEM43	chr3	14123426	14152994	ACMG_SF_v3.2	Arrhythmogenic cardiomyopathy
TNNI3	chr19	55151767	55157742	ACMG_SF_v3.2	Hypertrophic / dilated cardiomyopathy
TNNT2	chr1	201328142	201346878	ACMG_SF_v3.2	Hypertrophic / dilated cardiomyopathy
TP53	chr17	7661779	7687550	ACMG_SF_v3.2	Li-Fraumeni syndrome
TPM1	chr15	63043692	63353331	ACMG_SF_v3.2	Hypertrophic / dilated cardiomyopathy
TPMT	chr6	18130918	18155374	PharmGKB_VIP	Thiopurines (azathioprine, 6-MP)
TRDN	chr6	123133922	123553031	ACMG_SF_v3.2	CPVT
TSC1	chr9	132891349	132945269	ACMG_SF_v3.2	Tuberous sclerosis
TSC2	chr16	2047800	2090133	ACMG_SF_v3.2	Tuberous sclerosis
TTN	chr2	178525989	178830802	ACMG_SF_v3.2	Dilated cardiomyopathy
TTR	chr18	31591877	31598821	ACMG_SF_v3.2	Hereditary transthyretin amyloidosis (added v3.2)
UGT1A1	chr2	233754041	233773300	PharmGKB_VIP	Irinotecan, atazanavir
VHL	chr3	10141778	10153688	ACMG_SF_v3.2	von Hippel-Lindau syndrome
VKORC1	chr16	31090842	31097820	PharmGKB_VIP	Warfarin
WT1	chr11	32379149	32435571	ACMG_SF_v3.2	WT1-related Wilms tumor
